Academic Yr,Semester Year Letter Cd Concat,Semester Nm,Degree Level Desc,Major Short Nm,Ucb Level2 Ethnic Rollup Desc,Short Ethnic Desc,Gender Desc,Student Headcount,Prorated Degrees Awarded Cnt,College/School,Division,Department,Major
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,International,International,Female,7,5.33333333333333,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,International,International,Male,18,14.8333333333333,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Native American/Alaska Native,Native American/Alaska Native,Male,2,1.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,White,White,Female,12,9.33333333333333,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,White,White,Male,39,33.3333333333333,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 C,Summer,Bachelor,L&S Computer Science,African American,African American/Black,Male,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 C,Summer,Bachelor,L&S Computer Science,Asian,Chinese,Female,5,5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 C,Summer,Bachelor,L&S Computer Science,Asian,Chinese,Male,7,6,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 C,Summer,Bachelor,L&S Computer Science,Asian,Filipino,Male,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 C,Summer,Bachelor,L&S Computer Science,Asian,Japanese,Male,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 C,Summer,Bachelor,L&S Computer Science,Asian,Korean,Female,2,1.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 C,Summer,Bachelor,L&S Computer Science,Asian,Korean,Male,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 C,Summer,Bachelor,L&S Computer Science,Asian,South Asian,Male,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 C,Summer,Bachelor,L&S Computer Science,Chicano/Latino,Mexican American/Chicano,Male,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 C,Summer,Bachelor,L&S Computer Science,International,International,Female,2,1.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 C,Summer,Bachelor,L&S Computer Science,International,International,Male,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 C,Summer,Bachelor,L&S Computer Science,White,White,Male,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,African American,African American/Black,Male,1,0.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Asian,Chinese,Female,15,12.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Asian,Chinese,Male,21,17.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Asian,Filipino,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Asian,Filipino,Male,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Asian,Japanese,Female,3,3,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Asian,Korean,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Asian,Korean,Male,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Asian,Other Asian,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Asian,Other Asian,Male,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Asian,South Asian,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Asian,South Asian,Male,7,5.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Asian,Vietnamese,Female,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Asian,Vietnamese,Male,3,3,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Chicano/Latino,Mexican American/Chicano,Male,3,3,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Chicano/Latino,Other Hispanic/Latino,Female,1,0.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,Decline to State,Decline to State,Male,4,3.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
